Epoch #,Start Time,End Time,Score #, Score
336,06/08/2021 11:10:43,06/08/2021 11:10:46,1,Wake
337,06/08/2021 11:10:46,06/08/2021 11:10:49,1,Wake
338,06/08/2021 11:10:49,06/08/2021 11:10:52,1,Wake
339,06/08/2021 11:10:52,06/08/2021 11:10:55,1,Wake
340,06/08/2021 11:10:55,06/08/2021 11:10:58,1,Wake
341,06/08/2021 11:10:58,06/08/2021 11:11:01,1,Wake
342,06/08/2021 11:11:01,06/08/2021 11:11:04,1,Wake
343,06/08/2021 11:11:04,06/08/2021 11:11:07,1,Wake
344,06/08/2021 11:11:07,06/08/2021 11:11:10,1,Wake
345,06/08/2021 11:11:10,06/08/2021 11:11:13,1,Wake
346,06/08/2021 11:11:13,06/08/2021 11:11:16,1,Wake
347,06/08/2021 11:11:16,06/08/2021 11:11:19,1,Wake
348,06/08/2021 11:11:19,06/08/2021 11:11:22,1,Wake
349,06/08/2021 11:11:22,06/08/2021 11:11:25,1,Wake
350,06/08/2021 11:11:25,06/08/2021 11:11:28,1,Wake
351,06/08/2021 11:11:28,06/08/2021 11:11:31,1,Wake
352,06/08/2021 11:11:31,06/08/2021 11:11:34,1,Wake
353,06/08/2021 11:11:34,06/08/2021 11:11:37,1,Wake
354,06/08/2021 11:11:37,06/08/2021 11:11:40,1,Wake
355,06/08/2021 11:11:40,06/08/2021 11:11:43,1,Wake
356,06/08/2021 11:11:43,06/08/2021 11:11:46,1,Wake
357,06/08/2021 11:11:46,06/08/2021 11:11:49,1,Wake
358,06/08/2021 11:11:49,06/08/2021 11:11:52,1,Wake
359,06/08/2021 11:11:52,06/08/2021 11:11:55,1,Wake
360,06/08/2021 11:11:55,06/08/2021 11:11:58,1,Wake
361,06/08/2021 11:11:58,06/08/2021 11:12:01,1,Wake
362,06/08/2021 11:12:01,06/08/2021 11:12:04,1,Wake
363,06/08/2021 11:12:04,06/08/2021 11:12:07,1,Wake
364,06/08/2021 11:12:07,06/08/2021 11:12:10,1,Wake
365,06/08/2021 11:12:10,06/08/2021 11:12:13,1,Wake
366,06/08/2021 11:12:13,06/08/2021 11:12:16,1,Wake
367,06/08/2021 11:12:16,06/08/2021 11:12:19,1,Wake
368,06/08/2021 11:12:19,06/08/2021 11:12:22,1,Wake
369,06/08/2021 11:12:22,06/08/2021 11:12:25,1,Wake
370,06/08/2021 11:12:25,06/08/2021 11:12:28,1,Wake
371,06/08/2021 11:12:28,06/08/2021 11:12:31,1,Wake
372,06/08/2021 11:12:31,06/08/2021 11:12:34,1,Wake
